ix,iy,grid_x,grid_y,dx_sub,dy_sub,peak,second_peak,map_x,map_y,dx_m,dy_m,dx_ref_px,dy_ref_px
6,12,672,1237,-2.3613391618203208,-6.055552537953885,0.7219482064247131,0.6403771042823792,-2838508.16,-1544781.97,-11.145520843791914,-28.582207979142332,-5.572760421895957,-14.291103989571166
8,12,783,1237,-20.80950783057818,-14.72373062642388,0.5849401354789734,0.47926387190818787,-2837984.24,-1544781.97,-98.22087696032901,-69.49600855672071,-49.110438480164504,-34.748004278360355
9,12,838,1237,-14.448752787881334,0.17819235310605935,0.7916606664657593,0.6970547437667847,-2837724.64,-1544781.97,-68.1981131587999,0.8410679066606,-34.09905657939995,0.4205339533303
11,12,949,1237,-1.929229546602207,-7.1168559454458675,0.5477606654167175,0.455937922000885,-2837200.72,-1544781.97,-9.105963459962416,-33.59156006250449,-4.552981729981208,-16.795780031252246
12,12,1004,1237,12.952681287560045,27.712759911419443,0.5819177627563477,0.5192782282829285,-2836941.12,-1544781.97,61.13665567728341,130.80422678189976,30.568327838641704,65.40211339094988
13,12,1060,1237,-0.17420703020827608,-0.7772967696243883,0.6339296102523804,0.5427919030189514,-2836676.8,-1544781.97,-0.822257182583063,-3.6688407526271125,-0.4111285912915315,-1.8344203763135563
5,13,612,1316,-24.40539935776143,6.479946125172824,0.5642045140266418,0.46323779225349426,-2838791.36,-1545154.85,-115.19348496863394,30.585345710815727,-57.59674248431697,15.292672855407863
10,13,889,1316,8.867779963547887,4.018445590092048,0.5115913152694702,0.4323290288448334,-2837483.92,-1545154.85,41.85592142794603,18.967063185234466,20.927960713973015,9.483531592617233
1,14,386,1396,13.588242585653674,-9.783605897292944,0.5958786606788635,0.5310998558998108,-2839858.08,-1545532.4500000002,64.13650500428534,-46.17861983522269,32.06825250214267,-23.089309917611345
3,14,497,1396,21.982422000249514,16.959949770402666,0.5118259787559509,0.397652804851532,-2839334.16,-1545532.4500000002,103.7570318411777,80.05096291630058,51.87851592058885,40.02548145815029
13,14,1050,1396,-10.146826276464026,15.736731754383968,0.767944872379303,0.6760792136192322,-2836724.0,-1545532.4500000002,-47.8930200249102,74.27737388069232,-23.9465100124551,37.13868694034616
14,14,1105,1396,18.259872554360943,26.08978789209416,0.7476637959480286,0.6111466884613037,-2836464.4,-1545532.4500000002,86.18659845658364,123.14379885068443,43.09329922829182,61.57189942534222
1,15,383,1475,-24.275666944761436,-10.303225360708405,0.8440564274787903,0.7249345779418945,-2839872.24,-1545905.33,-114.58114797927398,-48.631223702543664,-57.29057398963699,-24.315611851271832
2,15,438,1475,6.70718113149323,12.844799582295332,0.40755128860473633,0.36164575815200806,-2839612.64,-1545905.33,31.657894940648042,60.62745402843397,15.828947470324021,30.313727014216983
7,15,714,1475,-22.196783113298817,-4.2315188539308295,0.4313286244869232,0.3868650496006012,-2838309.92,-1545905.33,-104.76881629477042,-19.972768990553515,-52.38440814738521,-9.986384495276758
9,15,825,1475,-16.670542886189935,14.896251409387151,0.6695206165313721,0.5464991331100464,-2837786.0,-1545905.33,-78.68496242281648,70.31030665230735,-39.34248121140824,35.15515332615367
0,16,323,1554,13.171228753798509,-28.64665203241315,0.5616709589958191,0.4022710919380188,-2840155.44,-1546278.21,62.16819971792896,-135.21219759299007,31.08409985896448,-67.60609879649503
3,16,488,1554,-24.435785864877705,12.319872107182855,0.40013450384140015,0.3465583026409149,-2839376.64,-1546278.21,-115.33690928222276,58.14979634590307,-57.66845464111138,29.074898172951535
0,17,319,1633,19.336350733990948,22.98011287382657,0.4227278530597687,0.34478917717933655,-2840174.32,-1546651.09,91.26757546443727,108.4661327644614,45.633787732218636,54.2330663822307
2,17,429,1633,-8.874315652190434,6.548190964202931,0.5834589600563049,0.5243619084358215,-2839655.12,-1546651.09,-41.886769878338846,30.90746135103783,-20.943384939169423,15.453730675518916
5,17,595,1633,-19.87742873490246,2.889146109898199,0.5733155012130737,0.4671202600002289,-2838871.6,-1546651.09,-93.82146362873961,13.6367696387195,-46.910731814369804,6.81838481935975
9,17,815,1633,14.6979543461084,-7.233170933811711,0.4211750328540802,0.33355480432510376,-2837833.2,-1546651.09,69.37434451363164,-34.14056680759128,34.68717225681582,-17.07028340379564
11,17,926,1633,-7.208872259778828,12.81297676786208,0.64375901222229,0.2966214716434479,-2837309.28,-1546651.09,-34.02587706615607,60.47725034430902,-17.012938533078035,30.23862517215451
12,17,981,1633,-10.855666337283917,6.360445507330482,0.6006047129631042,0.35881051421165466,-2837049.68,-1546651.09,-51.23874511198009,30.021302794599872,-25.619372555990044,15.010651397299936
2,18,426,1712,-19.828220368669395,-0.08512380898707084,0.6586111783981323,0.5608076453208923,-2839669.28,-1547023.97,-93.58920014011954,-0.40178437841897435,-46.79460007005977,-0.20089218920948718
3,18,481,1712,4.982322548853079,-8.980499252179905,0.8482620120048523,0.6967529058456421,-2839409.68,-1547023.97,23.516562430586532,-42.387956470289154,11.758281215293266,-21.193978235144577
4,18,536,1712,-12.663247459061,23.61375915889469,0.5509096384048462,0.4639051556587219,-2839150.08,-1547023.97,-59.77052800676791,111.45694322998294,-29.885264003383956,55.72847161499147
6,18,646,1712,30.4012472657212,-2.7106394309960478,0.41240882873535156,0.36377662420272827,-2838630.88,-1547023.97,143.49388709420404,-12.794218114301344,71.74694354710202,-6.397109057150672
7,18,701,1712,-1.1810364260653252,-8.518862623291202,0.7405874729156494,0.39411088824272156,-2838371.28,-1547023.97,-5.5744919310283345,-40.209031581934475,-2.7872459655141673,-20.104515790967238
8,18,757,1712,20.956402218733192,-18.851012623640035,0.7709084153175354,0.5790050029754639,-2838106.96,-1547023.97,98.91421847242066,-88.97677958358096,49.45710923621033,-44.48838979179048
9,18,812,1712,-3.13902655479231,11.82338400137157,0.5727704167366028,0.49045857787132263,-2837847.36,-1547023.97,-14.816205338619703,55.80637248647381,-7.4081026693098515,27.903186243236906
15,18,1143,1712,1.4206449234570608,22.639184557925184,0.7602627873420715,0.6810398101806641,-2836285.04,-1547023.97,6.705444038717327,106.85695111340686,3.3527220193586635,53.42847555670343
3,19,477,1791,-23.214297347603537,-2.8673322407308843,0.6632773876190186,0.46787571907043457,-2839428.56,-1547396.85,-109.57148348068868,-13.533808176249773,-54.78574174034434,-6.766904088124886
6,19,642,1791,16.315736598172904,-5.102946749663888,0.45463672280311584,0.342353492975235,-2838649.76,-1547396.85,77.01027674337611,-24.085908658413548,38.505138371688055,-12.042954329206774
7,19,697,1791,-19.499588341956215,14.828344982362255,0.5503948926925659,0.4372716248035431,-2838390.16,-1547396.85,-92.03805697403334,69.98978831674984,-46.01902848701667,34.99489415837492
15,19,1138,1791,1.9817303815827727,4.034610661597726,0.534112811088562,0.4562802314758301,-2836308.64,-1547396.85,9.353767401070687,19.043362322741263,4.676883700535344,9.521681161370632
0,20,308,1870,13.447776949996838,26.34256943368225,0.44863077998161316,0.39736151695251465,-2840226.24,-1547769.73,63.47350720398507,124.33692772698022,31.736753601992536,62.16846386349011
3,20,473,1870,-1.5560964464661293,-27.3707641325404,0.4211661219596863,0.31941670179367065,-2839447.44,-1547769.73,-7.34477522732013,-129.1900067055907,-3.672387613660065,-64.59500335279535
4,20,528,1870,2.5761316090229456,28.03197316267838,0.5288111567497253,0.4592718183994293,-2839187.84,-1547769.73,12.159341194588302,132.31091332784194,6.079670597294151,66.15545666392097
