# Stage P tie points: ch2_ohr_ncp_20211023T0027462822_d_img_d18 (source) to NAC_DTM_VIKRAMSITE1_M1442997156_100CM.TIF (reference), Chandrayaan-3 landing site.
# src_line/src_sample: 0-based position in the full-resolution source .img.
# ref_x/ref_y: reference CRS (polar stereographic, lat_ts -69.3, lon_0 32.3, R 1737400 m); ref_col/ref_row: 0-based pixel centre in the reference GeoTIFF.
# isro_geo_dx/dy_m: reference position minus the position the ISRO geometry CSV assigns to the same source pixel.
# Residuals in fine source-frame px (1 px = 1.134 m on the ground). heldout_residual_px: stripes scheme, model never saw the node.
# Reference error: lola_rms 1.85 m. Residuals are relative to the reference, not ground-truth errors.
id,src_line,src_sample,ref_x,ref_y,lon,lat,ref_col,ref_row,isro_geo_dx_m,isro_geo_dy_m,ncc_peak,ncc_second,fit_residual_px,is_inlier,heldout_fold,heldout_residual_px
53,26121.50,5121.50,825.944,605733.353,32.37812529,-69.57691418,11870.444,32526.147,485.23,-3684.33,0.7113,0.3795,0.4602,1,0,1.4803
54,26121.50,5505.50,721.507,605740.548,32.36824585,-69.57668110,11766.007,32518.952,489.21,-3685.78,0.7113,0.2856,0.1963,1,0,1.9681
55,26121.50,5889.50,616.038,605747.960,32.35826903,-69.57644029,11660.538,32511.540,492.22,-3687.01,0.7614,0.4007,0.1485,1,0,2.5380
56,26121.50,6273.50,508.937,605756.466,32.34813804,-69.57616283,11553.437,32503.034,493.66,-3687.16,0.8179,0.3765,0.1993,1,0,2.5755
57,26121.50,6657.50,401.897,605764.864,32.33801314,-69.57588829,11446.397,32494.636,495.24,-3687.41,0.7724,0.2820,0.3811,1,0,2.8312
58,26121.50,7041.50,292.921,605773.299,32.32770527,-69.57561195,11337.421,32486.201,494.94,-3687.64,0.8158,0.4830,0.4341,1,0,3.3983
59,26121.50,7425.50,182.383,605782.497,32.31725008,-69.57530976,11226.883,32477.003,493.14,-3687.10,0.8205,0.4831,0.5454,1,0,3.7669
60,26121.50,7809.50,73.009,605791.885,32.30690515,-69.57500065,11117.509,32467.615,492.58,-3686.38,0.6925,0.4368,0.4841,1,0,3.6304
61,26121.50,8193.50,-37.320,605801.260,32.29647032,-69.57469135,11007.180,32458.240,491.12,-3685.68,0.7120,0.3914,0.1788,1,0,3.7782
62,26121.50,8577.50,-147.645,605810.621,32.28603619,-69.57438179,10896.855,32448.879,489.74,-3685.00,0.7479,0.4369,0.3139,1,0,3.9474
63,26121.50,8961.50,-258.129,605819.652,32.27558727,-69.57408251,10786.371,32439.848,488.27,-3684.65,0.8226,0.5642,0.1092,1,0,4.6276
64,26121.50,9345.50,-367.244,605828.488,32.26526815,-69.57378900,10677.256,32431.012,488.23,-3684.50,0.8206,0.5661,0.4972,1,0,5.2133
65,26121.50,9729.50,-475.121,605837.000,32.25506644,-69.57350558,10569.379,32422.500,489.49,-3684.68,0.7817,0.5788,0.3510,1,0,5.5490
66,26121.50,10113.50,-583.135,605844.589,32.24485194,-69.57325198,10461.365,32414.911,490.69,-3685.78,0.8499,0.6866,0.3989,1,0,6.7218
67,26121.50,10497.50,-690.943,605853.050,32.23465730,-69.57296898,10353.557,32406.450,492.15,-3686.02,0.8167,0.6137,0.0977,1,0,7.2185
68,26121.50,10881.50,-798.840,605861.480,32.22445450,-69.57268635,10245.660,32398.020,493.60,-3686.30,0.8957,0.7283,0.5247,1,0,7.6043
69,26121.50,11265.50,-912.801,605871.597,32.21367870,-69.57234711,10131.699,32387.903,489.05,-3684.89,0.7042,0.4592,0.3687,1,0,9.1370
70,26121.50,11649.50,-1030.014,605882.242,32.20259588,-69.57198954,10014.486,32377.258,481.31,-3682.96,0.8173,0.7324,0.4740,1,0,11.2236
71,26505.50,2817.50,1482.113,605782.620,32.44018005,-69.57524679,12526.613,32476.880,486.24,-3686.75,0.8430,0.5226,0.6725,1,0,1.0966
72,26505.50,3201.50,1370.487,605792.581,32.42962024,-69.57492667,12414.987,32466.919,482.64,-3685.40,0.8202,0.4848,0.3605,1,0,0.8297
73,26505.50,3585.50,1258.969,605802.895,32.41907096,-69.57459421,12303.469,32456.605,479.21,-3683.70,0.8852,0.7598,0.7839,1,0,0.2011
74,26505.50,3969.50,1148.218,605812.604,32.40859457,-69.57428103,12192.718,32446.896,476.61,-3682.62,0.8625,0.4137,0.2512,1,0,0.5394
75,26505.50,4353.50,1039.117,605821.553,32.39827473,-69.57399216,12083.617,32437.947,475.72,-3682.29,0.8217,0.4432,0.3396,1,0,1.0260
76,26505.50,4737.50,932.996,605829.485,32.38823722,-69.57373606,11977.496,32430.015,477.89,-3682.99,0.8536,0.4604,0.3912,1,0,1.3153
77,26505.50,5121.50,829.201,605837.508,32.37841983,-69.57347621,11873.701,32421.992,482.44,-3683.61,0.7415,0.4773,0.2667,1,0,0.8628
