# Local planar approximation about anchor (-89.72070, 223.12570). Lunar radius 1737400 m. CAUTION: At extreme polar latitude -89.72S, cos(lat) ~ 0.00487 compresses longitudinal degree width to ~147.8 m/deg; planar approximation degrades near pole. For rigorous cartographic positioning, use Lunar Polar Stereographic (EPSG/IAU2000:30120). Valid only within this crop. Not geodetic coordinates.
match_id,src_x,src_y,ref_x,ref_y,residual_px,is_inlier,src_lat,src_lon,ref_lat,ref_lon,confidence
162,919.92,724.61,895.33,677.06,53.9088,0,-89.7278109,225.8528936,-89.7266559,225.8536234,0.0000
163,48.83,736.33,76.18,766.39,19.1728,0,-89.7281819,220.1955525,-89.7296607,220.2011890,0.0000
164,330.08,748.05,299.93,768.84,50.7912,0,-89.7285529,222.0221380,-89.7297432,221.7451491,0.0000
165,572.27,736.33,590.99,736.03,7.0835,1,-89.7281819,223.5950310,-89.7286394,223.7535371,0.5278
166,580.08,736.33,624.92,766.69,34.2272,0,-89.7281819,223.6457695,-89.7296707,223.9877114,0.0000
167,861.33,763.67,873.18,734.83,18.3614,0,-89.7290475,225.4723549,-89.7285992,225.7008313,0.0000
168,919.92,751.95,905.44,706.33,46.1688,0,-89.7286765,225.8528936,-89.7276404,225.9234065,0.0000
169,392.58,787.11,419.92,812.30,5.8118,1,-89.7297895,222.4280458,-89.7312050,222.5731285,0.6125
170,919.92,787.11,892.64,732.42,64.2171,0,-89.7297895,225.8528936,-89.7285181,225.8351177,0.0000
171,107.42,826.17,106.27,831.38,45.8965,0,-89.7310262,220.5760911,-89.7318467,220.4087668,0.0000
172,138.67,810.55,136.78,845.30,26.6575,0,-89.7305315,220.7790451,-89.7323151,220.6193242,0.0000
173,267.58,798.83,299.01,853.82,25.8052,0,-89.7301605,221.6162301,-89.7326015,221.7387551,0.0000
174,330.08,806.64,361.33,834.67,6.7701,1,-89.7304079,222.0221380,-89.7319575,222.1688148,0.5487
175,365.23,798.83,389.94,860.98,39.4110,0,-89.7301605,222.2504611,-89.7328425,222.3662608,0.0000
176,392.58,798.83,453.84,837.73,40.8439,0,-89.7301605,222.4280458,-89.7320604,222.8071490,0.0000
177,451.17,826.17,486.09,834.92,10.8061,1,-89.7310262,222.8085845,-89.7319659,223.0297347,0.2796
178,482.42,826.17,516.90,861.02,22.1611,0,-89.7310262,223.0115384,-89.7328437,223.2423167,0.0000
179,642.58,806.64,643.30,828.99,33.4003,0,-89.7304079,224.0516774,-89.7317664,224.1145464,0.0000
180,767.58,826.17,842.12,818.83,45.5850,0,-89.7310262,224.8634931,-89.7314248,225.4864587,0.0000
181,888.67,822.27,891.30,792.48,29.4244,0,-89.7309025,225.6499396,-89.7305383,225.8258123,0.0000
182,904.30,826.17,892.59,792.33,44.1394,0,-89.7310262,225.7514166,-89.7305332,225.8347470,0.0000
183,64.45,857.42,71.49,859.95,48.2346,0,-89.7320155,220.2970295,-89.7328077,220.1687739,0.0000
184,400.39,857.42,454.59,874.73,25.0968,0,-89.7320155,222.4787843,-89.7333049,222.8123294,0.0000
185,451.17,830.08,484.44,861.44,16.1489,0,-89.7311499,222.8085845,-89.7328581,223.0183531,0.0000
186,482.42,857.42,516.92,884.43,13.8050,1,-89.7320155,223.0115384,-89.7336312,223.2424670,0.0797
187,607.42,857.42,642.55,872.52,11.6683,1,-89.7320155,223.8233542,-89.7332307,224.1093863,0.2221
188,673.83,857.42,673.85,844.89,33.0095,0,-89.7320155,224.2546313,-89.7323011,224.3253209,0.0000
189,736.33,837.89,800.46,858.63,43.3794,0,-89.7313972,224.6605392,-89.7327632,225.1989839,0.0000
190,767.58,833.98,853.91,831.08,57.0001,0,-89.7312735,224.8634931,-89.7318366,225.5678118,0.0000
191,68.36,888.67,74.23,861.45,77.1622,0,-89.7330049,220.3223987,-89.7328584,220.1876792,0.0000
192,205.08,861.33,236.52,871.28,25.6567,0,-89.7321392,221.2103222,-89.7331891,221.3075616,0.0000
193,236.33,861.33,267.77,858.64,35.8254,0,-89.7321392,221.4132761,-89.7327639,221.5232275,0.0000
194,298.83,888.67,330.82,861.38,55.6661,0,-89.7330049,221.8191840,-89.7328560,221.9582758,0.0000
195,330.08,888.67,361.35,861.37,53.2611,0,-89.7330049,222.0221380,-89.7328557,222.1689267,0.0000
196,544.92,876.95,564.68,864.79,24.5530,0,-89.7326339,223.4174463,-89.7329705,223.5720171,0.0000
197,736.33,880.86,798.84,889.23,32.5593,0,-89.7327575,224.6605392,-89.7337926,225.1877918,0.0000
