# Local planar approximation about anchor (-70.85000, 32.26000). Lunar radius 1737400 m. Valid only within this crop. Not geodetic coordinates.
match_id,src_x,src_y,ref_x,ref_y,residual_px,is_inlier,src_lat,src_lon,ref_lat,ref_lon,confidence
143,473.44,270.31,465.15,265.18,18.3788,0,-70.8298134,32.2948460,-70.5459799,32.7078402,0.0000
144,489.06,285.94,489.47,264.16,32.5930,0,-70.8322455,32.3022600,-70.5436737,32.8750534,0.0000
145,682.81,267.19,687.12,285.70,14.3214,0,-70.8293270,32.3941941,-70.5922543,34.2337331,0.0000
146,710.94,285.94,710.61,286.11,18.8810,0,-70.8322455,32.4075394,-70.5931712,34.3951756,0.0000
147,714.06,285.94,736.09,286.32,10.5512,1,-70.8322455,32.4090222,-70.5936428,34.5703308,0.2966
148,70.31,310.94,61.20,311.99,17.9888,0,-70.8361369,32.1035638,-70.6515332,29.9310031,0.0000
149,98.44,289.06,88.68,299.63,9.9267,1,-70.8327320,32.1169090,-70.6236578,30.1199082,0.3382
150,135.94,289.06,91.95,297.44,27.2587,0,-70.8327320,32.1347027,-70.6187310,30.1424006,0.0000
151,151.56,289.06,129.43,307.27,7.9050,1,-70.8327320,32.1421168,-70.6409020,30.4000681,0.4730
152,185.94,310.94,139.06,308.01,36.8942,0,-70.8361369,32.1584277,-70.6425648,30.4662648,0.0000
153,210.94,295.31,179.83,335.66,32.9848,0,-70.8337048,32.1702901,-70.7049214,30.7465241,0.0000
154,214.06,295.31,204.03,311.74,4.3184,1,-70.8337048,32.1717729,-70.6509679,30.9128948,0.7121
155,239.06,310.94,214.17,313.67,17.6734,0,-70.8361369,32.1836354,-70.6553200,30.9825919,0.0000
156,289.06,310.94,266.41,303.34,25.5178,0,-70.8361369,32.2073603,-70.6320178,31.3416843,0.0000
157,317.19,310.94,291.21,286.81,42.1086,0,-70.8361369,32.2207056,-70.5947456,31.5121899,0.0000
158,360.94,301.56,363.15,314.13,6.2185,1,-70.8346776,32.2414649,-70.6563565,32.0066571,0.5854
159,410.94,310.94,413.58,329.69,7.1641,1,-70.8361369,32.2651898,-70.6914540,32.3533689,0.5224
160,429.69,310.94,435.34,325.93,6.1421,1,-70.8361369,32.2740867,-70.6829695,32.5029272,0.5905
