# Stage O tie points: Chandrayaan-2 TMC-2 (source) to LROC NAC DTM orthophoto (reference), Pitiscus.
# tmc_scan/tmc_pixel: 0-based line/sample in ch2_tmc_ncn_20230130T1900132182_d_img_d32.img (via ISRO geometry CSV).
# nac_col/nac_row: 0-based pixel-centre index in NAC_DTM_PITISCUS_M1149280834_2M.TIF.
# map_x/map_y: metres, equirectangular Moon sphere R=1737400, std parallel -51, CM 180 (NAC CRS). lon/lat in degrees.
# Residuals in common-grid px (1 px = 4.72 m). heldout_residual_px: spatial-block 5-fold, model never saw the node.
# Reference error: lola_rms 0.92 m. These are relative residuals, not ground-truth errors.
id,tmc_scan,tmc_pixel,grid_src_x,grid_src_y,grid_ref_x,grid_ref_y,map_x,map_y,lon,lat,nac_col,nac_row,ncc_peak,ncc_second,fit_residual_px,is_inlier,spatial_fold,heldout_residual_px
44,245893.051,718.972,704,128,800.2216,927.5771,-2837902.954,-1543321.494,31.28713127,-50.89548062,1888.023,2992.247,0.5963,0.3209,0.3968,1,0,1.3635
45,245892.240,670.959,752,128,849.7276,927.4717,-2837669.286,-1543320.997,31.29937603,-50.89546422,2004.857,2991.998,0.5756,0.3648,0.3124,1,0,0.5480
46,245891.422,622.945,800,128,900.2603,927.1627,-2837430.772,-1543319.538,31.31187474,-50.89541611,2124.114,2991.269,0.7146,0.6264,0.2358,1,0,0.7984
47,245890.597,574.934,848,128,949.8847,926.9694,-2837196.544,-1543318.625,31.32414880,-50.89538603,2241.228,2990.813,0.7129,0.5962,0.6030,1,0,0.2722
48,245889.765,526.922,896,128,1000.6978,927.3153,-2836956.706,-1543320.258,31.33671689,-50.89543988,2361.147,2991.629,0.7555,0.5878,0.2089,1,0,0.7556
49,245888.926,478.915,944,128,1050.6893,927.0801,-2836720.747,-1543319.148,31.34908174,-50.89540327,2479.127,2991.074,0.8005,0.6347,0.0309,1,0,0.5160
50,245888.079,430.906,992,128,1100.6395,927.1124,-2836484.982,-1543319.300,31.36143638,-50.89540828,2597.009,2991.150,0.7247,0.4485,0.2088,1,0,0.3825
51,245887.226,382.902,1040,128,1150.7661,927.0006,-2836248.384,-1543318.773,31.37383465,-50.89539088,2715.308,2990.886,0.7665,0.4756,0.1918,1,0,0.3755
52,245886.363,334.896,1088,128,1201.1568,926.8898,-2836010.540,-1543318.250,31.38629826,-50.89537364,2834.230,2990.625,0.6959,0.4463,0.3221,1,0,0.5989
53,245855.128,1152.036,272,176,349.1155,976.2793,-2840032.175,-1543551.368,31.17555503,-50.90306139,823.413,3107.184,0.6830,0.3463,2.0884,0,0,4.2507
54,245854.385,1104.026,320,176,399.0633,976.2305,-2839796.421,-1543551.138,31.18790907,-50.90305380,941.289,3107.069,0.6891,0.3597,1.6303,0,0,3.6299
55,245853.630,1056.005,368,176,448.9486,976.2431,-2839560.963,-1543551.197,31.20024765,-50.90305576,1059.019,3107.099,0.6676,0.3686,1.1307,1,0,2.9763
56,245852.873,1007.996,416,176,499.3849,976.0525,-2839322.903,-1543550.298,31.21272255,-50.90302610,1178.048,3106.649,0.7033,0.3526,1.2118,1,0,2.9014
57,245852.103,959.978,464,176,549.6448,976.1661,-2839085.677,-1543550.834,31.22515377,-50.90304377,1296.662,3106.917,0.7191,0.5261,1.1333,1,0,2.6835
58,245851.332,911.970,512,176,599.3705,975.8832,-2838850.971,-1543549.499,31.23745289,-50.90299975,1414.014,3106.249,0.6979,0.3991,0.5505,1,0,1.9517
59,245850.548,863.955,560,176,649.2600,975.9512,-2838615.493,-1543549.820,31.24979252,-50.90301033,1531.753,3106.410,0.7186,0.4937,0.1479,1,0,1.4216
60,245849.761,815.948,608,176,700.1507,975.7330,-2838375.289,-1543548.790,31.26237981,-50.90297635,1651.856,3105.895,0.7664,0.6245,0.7624,1,0,1.9114
61,245848.964,767.936,656,176,749.9852,975.8566,-2838140.070,-1543549.373,31.27470583,-50.90299559,1769.465,3106.187,0.7102,0.4864,0.3769,1,0,1.3966
62,245848.162,719.931,704,176,800.6766,975.7576,-2837900.807,-1543548.906,31.28724378,-50.90298019,1889.097,3105.953,0.7403,0.6293,0.8268,1,0,1.7465
63,245847.351,671.923,752,176,850.4474,975.5139,-2837665.888,-1543547.755,31.29955406,-50.90294225,2006.556,3105.378,0.6129,0.3962,0.3824,1,0,1.1966
64,245846.534,623.919,800,176,899.8504,975.2679,-2837432.706,-1543546.595,31.31177336,-50.90290397,2123.147,3104.797,0.6352,0.4098,0.4159,1,0,0.3201
65,245844.877,527.913,896,176,1000.5954,975.2015,-2836957.190,-1543546.281,31.33669157,-50.90289363,2360.905,3104.641,0.7444,0.4976,0.0637,1,0,0.5959
66,245844.039,479.912,944,176,1050.1237,975.0348,-2836723.416,-1543545.494,31.34894186,-50.90286768,2477.792,3104.247,0.7126,0.3345,0.5237,1,0,0.1002
67,245843.191,431.912,992,176,1100.7009,974.9687,-2836484.692,-1543545.182,31.36145157,-50.90285739,2597.154,3104.091,0.7755,0.5591,0.0396,1,0,0.3510
68,245842.339,383.916,1040,176,1150.2337,974.8317,-2836250.897,-1543544.536,31.37370299,-50.90283607,2714.052,3103.768,0.8260,0.5836,0.5679,1,0,0.2916
69,245841.476,335.918,1088,176,1200.8241,974.8753,-2836012.110,-1543544.741,31.38621598,-50.90284285,2833.445,3103.871,0.7687,0.5470,0.1721,1,0,0.3462
70,245810.236,1152.930,272,224,348.8288,1024.4002,-2840033.528,-1543778.499,31.17548411,-50.91055168,822.736,3220.749,0.7316,0.3328,1.6680,0,0,3.7649
71,245809.494,1104.923,320,224,398.6355,1024.4131,-2839798.440,-1543778.560,31.18780327,-50.91055369,940.280,3220.780,0.6599,0.3486,1.0843,1,0,3.0200
72,245808.739,1056.915,368,224,448.9450,1024.2355,-2839560.980,-1543777.722,31.20024677,-50.91052605,1059.010,3220.361,0.6765,0.3836,1.0186,1,0,2.8001
73,245807.982,1008.910,416,224,499.1026,1024.1078,-2839324.236,-1543777.119,31.21265271,-50.91050618,1177.382,3220.060,0.6758,0.2815,0.8292,1,0,2.4599
74,245807.213,960.903,464,224,549.0524,1024.0575,-2839088.473,-1543776.882,31.22500726,-50.91049835,1295.264,3219.941,0.6137,0.3085,0.4513,1,0,1.9415
75,245806.441,912.900,512,224,599.3025,1023.9044,-2838851.292,-1543776.159,31.23743609,-50.91047451,1413.854,3219.579,0.7002,0.3549,0.4069,1,0,1.7516
76,245805.658,864.896,560,224,649.3074,1023.8152,-2838615.269,-1543775.738,31.24980424,-50.91046062,1531.865,3219.369,0.7677,0.3282,0.1493,1,0,1.3454
77,245804.871,816.895,608,224,699.4376,1023.7783,-2838378.655,-1543775.564,31.26220342,-50.91045488,1650.173,3219.282,0.7172,0.4396,0.0323,1,0,1.0938
78,245804.075,768.893,656,224,749.6198,1023.8794,-2838141.795,-1543776.041,31.27461545,-50.91047061,1768.603,3219.520,0.6281,0.2303,0.1769,1,0,0.9517
79,245803.274,720.892,704,224,800.2986,1023.5221,-2837902.591,-1543774.354,31.28715029,-50.91041499,1888.205,3218.677,0.7181,0.4598,0.4143,1,0,1.2759
80,245802.464,672.892,752,224,850.2619,1023.5537,-2837666.764,-1543774.504,31.29950819,-50.91041992,2006.118,3218.752,0.6426,0.4078,0.1815,1,0,0.9506
81,245801.648,624.894,800,224,899.8938,1023.1871,-2837432.501,-1543772.773,31.31178409,-50.91036286,2123.249,3217.887,0.5637,0.4083,0.4211,1,0,0.3380
82,245799.993,528.901,896,224,1000.3747,1023.0469,-2836958.231,-1543772.111,31.33663697,-50.91034103,2360.384,3217.556,0.6401,0.3787,0.2025,1,0,0.3446
83,245799.156,480.907,944,224,1050.2655,1022.9470,-2836722.747,-1543771.640,31.34897692,-50.91032548,2478.127,3217.320,0.7723,0.5059,0.3781,1,0,0.0609
84,245798.309,432.915,992,224,1099.8594,1023.0322,-2836488.664,-1543772.042,31.36124343,-50.91033874,2595.168,3217.521,0.5772,0.3026,0.8449,1,0,0.5364
85,245797.458,384.924,1040,224,1149.9762,1022.8837,-2836252.112,-1543771.341,31.37363929,-50.91031563,2713.444,3217.170,0.7282,0.5509,0.7814,1,0,0.5357
86,245796.596,336.934,1088,224,1200.4271,1022.6007,-2836013.984,-1543770.005,31.38611777,-50.91027158,2832.508,3216.503,0.8188,0.6756,0.3771,1,0,0.1582
87,245765.394,1153.736,272,272,348.9963,1072.2539,-2840032.738,-1544004.368,31.17552553,-50.91800038,823.131,3333.684,0.6880,0.3476,1.7174,0,0,3.7410
88,245764.653,1105.728,320,272,398.7651,1072.3682,-2839797.829,-1544004.908,31.18783530,-50.91801817,940.586,3333.954,0.6006,0.3434,1.0973,1,0,2.9687
89,245763.899,1057.734,368,272,449.1985,1072.0881,-2839559.783,-1544003.586,31.20030946,-50.91797457,1059.608,3333.293,0.6631,0.3372,1.1808,1,0,2.8898
90,245763.143,1009.727,416,272,499.0183,1072.0625,-2839324.634,-1544003.465,31.21263185,-50.91797059,1177.183,3333.233,0.7241,0.3589,0.6601,1,0,2.2243
